5076052042682564|-|0000|-|15000.000000
5076052042682565|-|1111|-|18800.000000
5076052042682566|-|2222|-|30000.000000
5076052042682567|-|3333|-|25000.000000
5076052042682568|-|4444|-|18000.000000
5076052042682569|-|5555|-|22000.000000
5076052042682570|-|6666|-|27500.000000
5076052042682571|-|7777|-|32000.000000
5076052042682572|-|8888|-|29000.000000
5076052042682573|-|9999|-|31000.000000
5076052042682574|-|0001|-|20000.000000
5076052042682575|-|1000|-|27000.000000
5076052042682576|-|1100|-|24000.000000
5076052042682577|-|1200|-|26000.000000
5076052042682578|-|1300|-|19000.000000
5076052042682579|-|1400|-|35000.000000
5076052042682580|-|1500|-|33000.000000
5076052042682581|-|1600|-|21000.000000
5076052042682582|-|1700|-|28000.000000
5076052042682583|-|1800|-|30000.000000
5076052042682584|-|1900|-|24000.000000
5076052042682585|-|2000|-|31000.000000
5076052042682586|-|2100|-|25000.000000
5076052042682587|-|2200|-|27000.000000
5076052042682588|-|2300|-|20000.000000
5076052042682589|-|2400|-|23000.000000
5076052042682590|-|2500|-|29000.000000
5076052042682591|-|2600|-|31000.000000
5076052042682592|-|2700|-|35000.000000
5076052042682593|-|2800|-|20000.000000
5076052042682594|-|2900|-|27000.000000
5076052042682595|-|3000|-|24000.000000
5076052042682596|-|3100|-|22000.000000
5076052042682597|-|3200|-|26000.000000
5076052042682598|-|3300|-|19000.000000
5076052042682599|-|3400|-|21000.000000
5076052042682600|-|3500|-|29000.000000
5076052042682601|-|3600|-|31000.000000
5076052042682602|-|3700|-|28000.000000
5076052042682603|-|3800|-|20000.000000
5076052042682604|-|3900|-|27000.000000
5076052042682605|-|4000|-|24000.000000
5076052042682606|-|4100|-|22000.000000
5076052042682607|-|4200|-|26000.000000
5076052042682608|-|4300|-|19000.000000
5076052042682609|-|4400|-|21000.000000
5076052042682610|-|4500|-|29000.000000
5076052042682611|-|4600|-|31000.000000
